t_minus_t0_M,NRHybSur3dq8_CCE_energy_radiated_over_M,SEOBNRv5EHM_energy_radiated_over_M,NRHybSur3dq8_CCE_angular_momentum_z_radiated_over_M2,SEOBNRv5EHM_angular_momentum_z_radiated_over_M2,NRHybSur3dq8_CCE_planar_momentum_over_M,SEOBNRv5EHM_planar_momentum_over_M
69845.0,1.6440970201649748e-05,1.643827773353951e-05,0.00888200414917367,0.008880523595767121,6.915661755777822e-09,6.913618369512511e-09
69860.0,1.644459068097974e-05,1.644189761942767e-05,0.008883945354517211,0.008882464476067891,6.891818310496074e-09,6.889544648066372e-09
70730.0,1.665464689892874e-05,1.6651918877915028e-05,0.008996560858563148,0.00899506093037842,3.462922295749031e-09,3.461254491112498e-09
70760.0,1.666189259352588e-05,1.6659163371420566e-05,0.00900044504099038,0.008998944457610762,3.2879293242491496e-09,3.2861517394264278e-09
71614.0,1.6868220306155556e-05,1.6865456570976012e-05,0.009111039815080497,0.009109520453145004,2.2224073508631708e-09,2.2226825172324374e-09
71640.0,1.6874503958406407e-05,1.6871739179720584e-05,0.009114407622100298,0.009112887690845247,2.385569311431373e-09,2.38571269275458e-09
72498.0,1.7081931632330137e-05,1.7079132254493087e-05,0.009225570380804397,0.009224031588040063,6.4757005115927155e-09,6.4742583748023616e-09
72540.0,1.7092088765198413e-05,1.7089287702699604e-05,0.009231013160566397,0.009229473447381129,6.586969013689908e-09,6.5853599523586465e-09
73382.0,1.7295780877760036e-05,1.7292946086334085e-05,0.009340152536284901,0.009338594385666714,6.5729274098101e-09,6.570716918534242e-09
73440.0,1.730981653636758e-05,1.730697943024893e-05,0.009347672174197153,0.009346112757010626,6.415030072278519e-09,6.4127173200105604e-09
74266.0,1.750976841288429e-05,1.750689828093394e-05,0.009454786384433233,0.009453208914629814,2.447123981655992e-09,2.4455954103926407e-09
74340.0,1.7527687675367032e-05,1.7524814587831528e-05,0.009464384776942773,0.009462805691767589,1.9806740189305523e-09,1.97917741205767e-09
75150.0,1.772389462384871e-05,1.7720988994293422e-05,0.00956947205824821,0.00956787522396078,3.2638280773838507e-09,3.2638448179673374e-09
75220.0,1.774085624194926e-05,1.7737947800499444e-05,0.009578555716679765,0.009576957348684361,3.6704648863564748e-09,3.670190862085071e-09
76034.0,1.7938159677313794e-05,1.7935218339330316e-05,0.009684209627874413,0.009682593345846613,6.870282489650057e-09,6.8687469715512054e-09
76120.0,1.7959011873656225e-05,1.7956067060926018e-05,0.009695374648264189,0.009693756473299803,7.001119220939788e-09,6.999218305573837e-09
76919.0,1.8152806267126605e-05,1.8149829061369437e-05,0.009799128997943567,0.009797493191802885,6.055805431657296e-09,6.053537531860444e-09
77020.0,1.817731151302196e-05,1.817433021191189e-05,0.009812247398753467,0.009810609363424143,5.67460894354912e-09,5.672327533792113e-09
77803.0,1.8367349421540434e-05,1.836433636976139e-05,0.009913970488568846,0.00991231516930947,1.3468847434261217e-09,1.3455343827358478e-09
77920.0,1.8395755254530214e-05,1.8392737469228594e-05,0.009929173988705324,0.009927516090359672,5.873873720182238e-10,5.862559940610804e-10
78687.0,1.8582031650797844e-05,1.8578982849320828e-05,0.010028863934034413,0.010027189129372383,4.24651852879274e-09,4.246225294266926e-09
78820.0,1.861434315784955e-05,1.8611288997375705e-05,0.010046154432927465,0.010044476703208653,4.924365884606653e-09,4.92362480695587e-09
79571.0,1.8796853043621422e-05,1.8793768608781843e-05,0.010143809356013165,0.010142115103591882,7.094947674130536e-09,7.093252927899156e-09
79700.0,1.882821305426552e-05,1.8825123433910906e-05,0.010160587411963684,0.010158890327096456,7.1361258152081405e-09,7.1339906392018e-09
80455.0,1.9011813859971405e-05,1.9008693817986308e-05,0.010258806829970405,0.010257093144401982,5.373758269472267e-09,5.371661702733687e-09
80600.0,1.9047086601746952e-05,1.9043960715402194e-05,0.010277674513672817,0.010275957640224329,4.6903606103671854e-09,4.688191314957393e-09
